title_product,Link,Price
"Xiaomi Mi Smart Band 5 1.1"" caixa de  plástico pc  black, pulseira  black de  elastômero termoplástico e liga de alumínio XMSH10HM",https://www.mercadolivre.com.br/xiaomi-mi-smart-band-5-11-caixa-de-plastico-pc-black-pulseira-black-de-elastmero-termoplastico-e-liga-de-aluminio-xmsh10hm/p/MLB15963018?pdp_filters=category:MLB135384#searchVariation=MLB15963018&position=1&search_layout=stack&type=product&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"148,35"
"Xiaomi Mi Smart Band 6 1.56"" caixa de  plástico pc  black, pulseira  black de  tpu e liga de alumínio XMSH15HM",https://www.mercadolivre.com.br/xiaomi-mi-smart-band-6-156-caixa-de-plastico-pc-black-pulseira-black-de-tpu-e-liga-de-aluminio-xmsh15hm/p/MLB17796174?pdp_filters=category:MLB135384#searchVariation=MLB17796174&position=2&search_layout=stack&type=product&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"215,49"
"Xiaomi Mi Smart Band 5 (NFC) 1.1"" caixa de  plástico pc  preta, pulseira  preta de  tpu e liga de alumínio XMSH11HM",https://www.mercadolivre.com.br/xiaomi-mi-smart-band-5-nfc-11-caixa-de-plastico-pc-preta-pulseira-preta-de-tpu-e-liga-de-aluminio-xmsh11hm/p/MLB16040268?pdp_filters=category:MLB135384#searchVariation=MLB16040268&position=3&search_layout=stack&type=product&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"191,52"
Smartwatch Xiaomi Mi Band 5 Versão Global Original+ Nfe Novo,https://produto.mercadolivre.com.br/MLB-2023144644-smartwatch-xiaomi-mi-band-5-verso-global-original-nfe-novo-_JM?searchVariation=173658934276#searchVariation=173658934276&position=5&search_layout=stack&type=item&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"174,87"
Mi Smartband M5 Versao Global Relogio  Inteligente Preto ,https://produto.mercadolivre.com.br/MLB-1964199217-mi-smartband-m5-versao-global-relogio-inteligente-preto-_JM?searchVariation=92613248725#searchVariation=92613248725&position=6&search_layout=stack&type=item&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"104,90"
Kit Com 5 Pulseiras Para Mi Band 5 E Amazfit Band 5 Silicone,https://produto.mercadolivre.com.br/MLB-1799046187-kit-com-5-pulseiras-para-mi-band-5-e-amazfit-band-5-silicone-_JM?searchVariation=76789005098#searchVariation=76789005098&position=7&search_layout=stack&type=item&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"39,50"
Kit De 5 Pulseiras Silicone Para Mi Band 4 Diversas Cores,https://produto.mercadolivre.com.br/MLB-1776657239-kit-de-5-pulseiras-silicone-para-mi-band-4-diversas-cores-_JM?searchVariation=73992849240#searchVariation=73992849240&position=8&search_layout=stack&type=item&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"39,89"
Pulseira Mi Band 5 6 Colorida De Silicone Cores Premium,https://produto.mercadolivre.com.br/MLB-2129126924-pulseira-mi-band-5-6-colorida-de-silicone-cores-premium-_JM?searchVariation=174060332390#searchVariation=174060332390&position=9&search_layout=stack&type=item&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"12,90"
5 Pulseiras Miband 3 Ou 4 + Película De Gel Brinde! ,https://produto.mercadolivre.com.br/MLB-1434935823-5-pulseiras-miband-3-ou-4-pelicula-de-gel-brinde-_JM?searchVariation=66067284061#searchVariation=66067284061&position=10&search_layout=stack&type=item&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"27,80"
Pulseira Colorida De Silicone Mi Band 5,https://produto.mercadolivre.com.br/MLB-1887951440-pulseira-colorida-de-silicone-mi-band-5-_JM?searchVariation=85029946815#searchVariation=85029946815&position=11&search_layout=stack&type=item&tracking_id=1f817f70-77f1-4b12-92c1-9b4e6bb3e606,"14,90"
